Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.86,0.89,0.82,0.56,0.93,0.83,0.41,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.01
Balanced Bagging,0.86,0.89,0.82,0.56,0.93,0.83,0.41,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.01
Balanced Bagging,0.86,0.89,0.82,0.56,0.93,0.83,0.41,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.01
Balanced Bagging,0.84,0.85,0.82,0.54,0.93,0.83,0.4,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 19, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.01
Balanced Bagging,0.84,0.85,0.82,0.54,0.93,0.83,0.4,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 19, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.93,0.81,0.37,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=4, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.93,0.81,0.37,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=4, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.93,0.81,0.37,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=4, random_state=42)",0.01
Balanced Bagging,0.81,0.85,0.76,0.47,0.91,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=4, random_state=42)",0.01
Balanced Bagging,0.81,0.85,0.76,0.47,0.91,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=4, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.91,0.81,0.37,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=3, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.91,0.81,0.37,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=3, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.91,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=3, random_state=42)",0.01
Balanced Bagging,0.83,0.85,0.81,0.52,0.91,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=3, random_state=42)",0.01
Balanced Bagging,0.81,0.83,0.8,0.5,0.91,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=3, random_state=42)",0.01
Balanced Bagging,0.83,0.89,0.77,0.49,0.91,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=7, random_state=42)",0.01
Balanced Bagging,0.83,0.89,0.77,0.49,0.91,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=7, random_state=42)",0.01
Balanced Bagging,0.83,0.89,0.77,0.49,0.91,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=7, random_state=42)",0.01
Balanced Bagging,0.83,0.89,0.77,0.49,0.91,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=7, random_state=42)",0.01
Balanced Bagging,0.83,0.89,0.77,0.49,0.91,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=7, random_state=42)",0.01
Balanced Bagging,0.86,0.89,0.82,0.55,0.93,0.83,0.4,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, random_state=42)",0.01
Balanced Bagging,0.86,0.89,0.82,0.55,0.93,0.83,0.4,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, random_state=42)",0.01
Balanced Bagging,0.84,0.87,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, random_state=42)",0.01
Balanced Bagging,0.84,0.87,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, random_state=42)",0.01
Balanced Bagging,0.84,0.87,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, random_state=42)",0.01
